,country,most_important_feature,feature_value,# functioning,# not functioning,percentage_broken
1162,Malawi,lat_deg,-15.7249,,1.0,100.0
1163,Malawi,lat_deg,-15.8334,1.0,1.0,50.0
1164,Malawi,lat_deg,-15.8331,1.0,1.0,50.0
1165,Malawi,lat_deg,-15.725,1.0,1.0,50.0
1166,Malawi,lat_deg,-15.7254,1.0,1.0,50.0
1167,Malawi,lat_deg,-15.7255,,1.0,100.0
1168,Malawi,lat_deg,-15.7259,,1.0,100.0
1169,Malawi,lat_deg,-15.725999999999999,1.0,1.0,50.0
1170,Malawi,lat_deg,-15.7261,1.0,1.0,50.0
1171,Malawi,lat_deg,-15.7267,,1.0,100.0
1172,Malawi,lat_deg,-15.7275,,1.0,100.0
1173,Malawi,lat_deg,-15.729000000000001,,1.0,100.0
1174,Malawi,lat_deg,-15.8329,1.0,1.0,50.0
1175,Malawi,lat_deg,-15.73,,1.0,100.0
1176,Malawi,lat_deg,-15.8327,2.0,1.0,33.33
1177,Malawi,lat_deg,-15.8325,,1.0,100.0
1178,Malawi,lat_deg,-15.7304,,1.0,100.0
1179,Malawi,lat_deg,-15.7596,,1.0,100.0
1180,Malawi,lat_deg,-15.7628,4.0,1.0,20.0
1181,Malawi,lat_deg,-15.7597,,1.0,100.0
1182,Malawi,lat_deg,-15.7981,1.0,1.0,50.0
1183,Malawi,lat_deg,-15.7745,,1.0,100.0
1184,Malawi,lat_deg,-15.8401,,1.0,100.0
1185,Malawi,lat_deg,-15.7747,,1.0,100.0
1186,Malawi,lat_deg,-15.8009,,1.0,100.0
1187,Malawi,lat_deg,-15.8007,,1.0,100.0
1188,Malawi,lat_deg,-15.8002,,1.0,100.0
1189,Malawi,lat_deg,-15.7996,,1.0,100.0
1190,Malawi,lat_deg,-15.7988,1.0,1.0,50.0
1191,Malawi,lat_deg,-15.7759,1.0,1.0,50.0
1192,Malawi,lat_deg,-15.7974,,1.0,100.0
1193,Malawi,lat_deg,-15.7742,1.0,1.0,50.0
1194,Malawi,lat_deg,-15.7972,,1.0,100.0
1195,Malawi,lat_deg,-15.7969,,1.0,100.0
1196,Malawi,lat_deg,-15.7762,1.0,1.0,50.0
1197,Malawi,lat_deg,-15.7763,,1.0,100.0
1198,Malawi,lat_deg,-15.7764,2.0,1.0,33.33
1199,Malawi,lat_deg,-15.7766,4.0,1.0,20.0
1200,Malawi,lat_deg,-15.7959,,1.0,100.0
1201,Malawi,lat_deg,-15.7956,1.0,1.0,50.0
1202,Malawi,lat_deg,-15.777000000000001,2.0,1.0,33.33
1203,Malawi,lat_deg,-15.8011,1.0,1.0,50.0
1204,Malawi,lat_deg,-15.8018,1.0,1.0,50.0
1205,Malawi,lat_deg,-15.76,2.0,1.0,33.33
1206,Malawi,lat_deg,-15.8033,1.0,1.0,50.0
1207,Malawi,lat_deg,-15.8056,2.0,1.0,33.33
1208,Malawi,lat_deg,-15.805,,1.0,100.0
1209,Malawi,lat_deg,-15.8049,1.0,1.0,50.0
1210,Malawi,lat_deg,-15.7724,1.0,1.0,50.0
1211,Malawi,lat_deg,-15.8038,1.0,1.0,50.0
1212,Malawi,lat_deg,-15.7726,3.0,1.0,25.0
1213,Malawi,lat_deg,-15.8037,,1.0,100.0
1214,Malawi,lat_deg,-15.8036,,1.0,100.0
1215,Malawi,lat_deg,-15.8034,1.0,1.0,50.0
1216,Malawi,lat_deg,-15.7729,2.0,1.0,33.33
1217,Malawi,lat_deg,-15.774000000000001,1.0,1.0,50.0
1218,Malawi,lat_deg,-15.7731,,1.0,100.0
1219,Malawi,lat_deg,-15.7733,1.0,1.0,50.0
1220,Malawi,lat_deg,-15.802999999999999,2.0,1.0,33.33
1221,Malawi,lat_deg,-15.8373,2.0,1.0,33.33
1222,Malawi,lat_deg,-15.7736,1.0,1.0,50.0
1223,Malawi,lat_deg,-15.8028,,1.0,100.0
1224,Malawi,lat_deg,-15.8026,,1.0,100.0
1225,Malawi,lat_deg,-15.7739,1.0,1.0,50.0
1226,Malawi,lat_deg,-15.802,,1.0,100.0
1227,Malawi,lat_deg,-15.7948,,1.0,100.0
1228,Malawi,lat_deg,-15.793,1.0,1.0,50.0
1229,Malawi,lat_deg,-15.7779,,1.0,100.0
1230,Malawi,lat_deg,-15.7874,,1.0,100.0
1231,Malawi,lat_deg,-15.7825,,1.0,100.0
1232,Malawi,lat_deg,-15.7828,,1.0,100.0
1233,Malawi,lat_deg,-15.7896,1.0,1.0,50.0
1234,Malawi,lat_deg,-15.7895,,1.0,100.0
1235,Malawi,lat_deg,-15.7894,1.0,1.0,50.0
1236,Malawi,lat_deg,-15.7831,,1.0,100.0
1237,Malawi,lat_deg,-15.7891,1.0,1.0,50.0
1238,Malawi,lat_deg,-15.7882,2.0,1.0,33.33
1239,Malawi,lat_deg,-15.788,,1.0,100.0
1240,Malawi,lat_deg,-15.7833,,1.0,100.0
1241,Malawi,lat_deg,-15.7029,1.0,1.0,50.0
1242,Malawi,lat_deg,-15.7836,,1.0,100.0
1243,Malawi,lat_deg,-15.7837,,1.0,100.0
1244,Malawi,lat_deg,-15.7839,,1.0,100.0
1245,Malawi,lat_deg,-15.7871,2.0,1.0,33.33
1246,Malawi,lat_deg,-15.7842,1.0,1.0,50.0
1247,Malawi,lat_deg,-15.7843,1.0,1.0,50.0
1248,Malawi,lat_deg,-15.7846,1.0,1.0,50.0
1249,Malawi,lat_deg,-15.7852,1.0,1.0,50.0
1250,Malawi,lat_deg,-15.7864,2.0,1.0,33.33
1251,Malawi,lat_deg,-15.7824,,1.0,100.0
1252,Malawi,lat_deg,-15.7822,,1.0,100.0
1253,Malawi,lat_deg,-15.7817,1.0,1.0,50.0
1254,Malawi,lat_deg,-15.7816,1.0,1.0,50.0
1255,Malawi,lat_deg,-15.7921,1.0,1.0,50.0
1256,Malawi,lat_deg,-15.7918,2.0,1.0,33.33
1257,Malawi,lat_deg,-15.8398,2.0,1.0,33.33
1258,Malawi,lat_deg,-15.7913,1.0,1.0,50.0
1259,Malawi,lat_deg,-15.7789,2.0,1.0,33.33
1260,Malawi,lat_deg,-15.779000000000002,3.0,1.0,25.0
1261,Malawi,lat_deg,-15.7792,,1.0,100.0
1262,Malawi,lat_deg,-15.7793,,1.0,100.0
1263,Malawi,lat_deg,-15.7796,,1.0,100.0
1264,Malawi,lat_deg,-15.7911,1.0,1.0,50.0
1265,Malawi,lat_deg,-15.7798,1.0,1.0,50.0
1266,Malawi,lat_deg,-15.7799,,1.0,100.0
1267,Malawi,lat_deg,-15.78,,1.0,100.0
1268,Malawi,lat_deg,-15.7899,1.0,1.0,50.0
1269,Malawi,lat_deg,-15.7806,1.0,1.0,50.0
1270,Malawi,lat_deg,-15.7897,1.0,1.0,50.0
1271,Malawi,lat_deg,-15.7813,2.0,1.0,33.33
1272,Malawi,lat_deg,-15.7814,,1.0,100.0
1273,Malawi,lat_deg,-15.8392,,1.0,100.0
1274,Malawi,lat_deg,-15.7715,,1.0,100.0
1275,Malawi,lat_deg,-15.8064,1.0,1.0,50.0
1276,Malawi,lat_deg,-15.8065,2.0,1.0,33.33
1277,Malawi,lat_deg,-15.765,,1.0,100.0
1278,Malawi,lat_deg,-15.8222,,1.0,100.0
1279,Malawi,lat_deg,-15.8221,2.0,1.0,33.33
1280,Malawi,lat_deg,-15.7634,2.0,1.0,33.33
1281,Malawi,lat_deg,-15.822000000000001,1.0,1.0,50.0
1282,Malawi,lat_deg,-15.8412,,1.0,100.0
1283,Malawi,lat_deg,-15.7642,,1.0,100.0
1284,Malawi,lat_deg,-15.7643,,1.0,100.0
1285,Malawi,lat_deg,-15.7646,1.0,1.0,50.0
1286,Malawi,lat_deg,-15.7647,,1.0,100.0
1287,Malawi,lat_deg,-15.7652,,1.0,100.0
1288,Malawi,lat_deg,-15.8185,,1.0,100.0
1289,Malawi,lat_deg,-15.7653,,1.0,100.0
1290,Malawi,lat_deg,-15.7656,,1.0,100.0
1291,Malawi,lat_deg,-15.7657,,1.0,100.0
1292,Malawi,lat_deg,-15.8216,,1.0,100.0
1293,Malawi,lat_deg,-15.7658,1.0,1.0,50.0
1294,Malawi,lat_deg,-15.8206,3.0,1.0,25.0
1295,Malawi,lat_deg,-15.8201,1.0,1.0,50.0
1296,Malawi,lat_deg,-15.765999999999998,2.0,1.0,33.33
1297,Malawi,lat_deg,-15.7661,2.0,1.0,33.33
1298,Malawi,lat_deg,-15.8225,,1.0,100.0
1299,Malawi,lat_deg,-15.7633,,1.0,100.0
1300,Malawi,lat_deg,-15.763,,1.0,100.0
1301,Malawi,lat_deg,-15.786,,1.0,100.0
1302,Malawi,lat_deg,-15.7601,1.0,1.0,50.0
1303,Malawi,lat_deg,-15.7603,2.0,1.0,33.33
1304,Malawi,lat_deg,-15.8246,1.0,1.0,50.0
1305,Malawi,lat_deg,-15.7604,2.0,1.0,33.33
1306,Malawi,lat_deg,-15.7606,1.0,1.0,50.0
1307,Malawi,lat_deg,-15.8241,2.0,1.0,33.33
1308,Malawi,lat_deg,-15.8237,2.0,1.0,33.33
1309,Malawi,lat_deg,-15.8416,4.0,1.0,20.0
1310,Malawi,lat_deg,-15.8235,2.0,1.0,33.33
1311,Malawi,lat_deg,-15.8232,2.0,1.0,33.33
1312,Malawi,lat_deg,-15.8231,1.0,1.0,50.0
1313,Malawi,lat_deg,-15.823,,1.0,100.0
1314,Malawi,lat_deg,-15.7612,,1.0,100.0
1315,Malawi,lat_deg,-15.7615,,1.0,100.0
1316,Malawi,lat_deg,-15.7616,,1.0,100.0
1317,Malawi,lat_deg,-15.7618,4.0,1.0,20.0
1318,Malawi,lat_deg,-15.7619,1.0,1.0,50.0
1319,Malawi,lat_deg,-15.7626,1.0,1.0,50.0
1320,Malawi,lat_deg,-15.7627,2.0,1.0,33.33
1321,Malawi,lat_deg,-15.8188,,1.0,100.0
1322,Malawi,lat_deg,-15.8182,1.0,1.0,50.0
1323,Malawi,lat_deg,-15.770999999999999,,1.0,100.0
1324,Malawi,lat_deg,-15.8082,2.0,1.0,33.33
1325,Malawi,lat_deg,-15.81,1.0,1.0,50.0
1326,Malawi,lat_deg,-15.7687,,1.0,100.0
1327,Malawi,lat_deg,-15.7688,3.0,1.0,25.0
1328,Malawi,lat_deg,-15.8098,2.0,1.0,33.33
1329,Malawi,lat_deg,-15.8092,2.0,1.0,33.33
1330,Malawi,lat_deg,-15.809000000000001,1.0,1.0,50.0
1331,Malawi,lat_deg,-15.7691,,1.0,100.0
1332,Malawi,lat_deg,-15.8089,,1.0,100.0
1333,Malawi,lat_deg,-15.8083,,1.0,100.0
1334,Malawi,lat_deg,-15.7694,2.0,1.0,33.33
1335,Malawi,lat_deg,-15.818,1.0,1.0,50.0
1336,Malawi,lat_deg,-15.8081,1.0,1.0,50.0
1337,Malawi,lat_deg,-15.7697,,1.0,100.0
1338,Malawi,lat_deg,-15.8078,1.0,1.0,50.0
1339,Malawi,lat_deg,-15.7699,3.0,1.0,25.0
1340,Malawi,lat_deg,-15.7702,,1.0,100.0
1341,Malawi,lat_deg,-15.8074,,1.0,100.0
1342,Malawi,lat_deg,-15.7706,2.0,1.0,33.33
1343,Malawi,lat_deg,-15.8072,2.0,1.0,33.33
1344,Malawi,lat_deg,-15.8071,,1.0,100.0
1345,Malawi,lat_deg,-15.811,1.0,1.0,50.0
1346,Malawi,lat_deg,-15.7684,3.0,1.0,25.0
1347,Malawi,lat_deg,-15.7682,1.0,1.0,50.0
1348,Malawi,lat_deg,-15.8116,2.0,1.0,33.33
1349,Malawi,lat_deg,-15.8178,1.0,1.0,50.0
1350,Malawi,lat_deg,-15.8173,1.0,1.0,50.0
1351,Malawi,lat_deg,-15.8165,,1.0,100.0
1352,Malawi,lat_deg,-15.8158,1.0,1.0,50.0
1353,Malawi,lat_deg,-15.7665,1.0,1.0,50.0
1354,Malawi,lat_deg,-15.7666,,1.0,100.0
1355,Malawi,lat_deg,-15.8145,1.0,1.0,50.0
1356,Malawi,lat_deg,-15.7667,2.0,1.0,33.33
1357,Malawi,lat_deg,-15.7668,1.0,1.0,50.0
1358,Malawi,lat_deg,-15.7669,2.0,1.0,33.33
1359,Malawi,lat_deg,-15.8139,,1.0,100.0
1360,Malawi,lat_deg,-15.8137,,1.0,100.0
1361,Malawi,lat_deg,-15.8409,4.0,1.0,20.0
1362,Malawi,lat_deg,-15.7674,1.0,1.0,50.0
1363,Malawi,lat_deg,-15.7675,2.0,1.0,33.33
1364,Malawi,lat_deg,-15.7676,,1.0,100.0
1365,Malawi,lat_deg,-15.8127,2.0,1.0,33.33
1366,Malawi,lat_deg,-15.8407,,1.0,100.0
1367,Malawi,lat_deg,-15.8124,,1.0,100.0
1368,Malawi,lat_deg,-15.777999999999999,1.0,1.0,50.0
1369,Malawi,lat_deg,-23.546,,1.0,100.0
1370,Malawi,lat_deg,-15.7018,,1.0,100.0
1371,Malawi,lat_deg,-15.0607,,1.0,100.0
1372,Malawi,lat_deg,-15.1796,,1.0,100.0
1373,Malawi,lat_deg,-15.1418,,1.0,100.0
1374,Malawi,lat_deg,-15.1354,,1.0,100.0
1375,Malawi,lat_deg,-15.1325,,1.0,100.0
1376,Malawi,lat_deg,-15.1263,,1.0,100.0
1377,Malawi,lat_deg,-15.1197,,1.0,100.0
1378,Malawi,lat_deg,-15.1183,,1.0,100.0
1379,Malawi,lat_deg,-15.1107,,1.0,100.0
1380,Malawi,lat_deg,-15.0923,,1.0,100.0
1381,Malawi,lat_deg,-15.0892,,1.0,100.0
1382,Malawi,lat_deg,-15.087,,1.0,100.0
1383,Malawi,lat_deg,-15.0848,,1.0,100.0
1384,Malawi,lat_deg,-15.0839,,1.0,100.0
1385,Malawi,lat_deg,-15.0822,,1.0,100.0
1386,Malawi,lat_deg,-15.0813,4.0,1.0,20.0
1387,Malawi,lat_deg,-15.1815,,1.0,100.0
1388,Malawi,lat_deg,-15.1849,,1.0,100.0
1389,Malawi,lat_deg,-15.2042,,1.0,100.0
1390,Malawi,lat_deg,-15.2261,,1.0,100.0
1391,Malawi,lat_deg,-15.2376,4.0,1.0,20.0
1392,Malawi,lat_deg,-15.2373,1.0,1.0,50.0
1393,Malawi,lat_deg,-15.234000000000002,,1.0,100.0
1394,Malawi,lat_deg,-15.2333,1.0,1.0,50.0
1395,Malawi,lat_deg,-15.2321,,1.0,100.0
1396,Malawi,lat_deg,-15.2262,1.0,1.0,50.0
1397,Malawi,lat_deg,-15.2235,2.0,1.0,33.33
1398,Malawi,lat_deg,-15.205,,1.0,100.0
1399,Malawi,lat_deg,-15.22,1.0,1.0,50.0
1400,Malawi,lat_deg,-15.2185,2.0,1.0,33.33
1401,Malawi,lat_deg,-15.2168,,1.0,100.0
1402,Malawi,lat_deg,-15.2126,,1.0,100.0
1403,Malawi,lat_deg,-15.2085,,1.0,100.0
1404,Malawi,lat_deg,-15.2051,1.0,1.0,50.0
1405,Malawi,lat_deg,-15.0706,,1.0,100.0
1406,Malawi,lat_deg,-15.0538,,1.0,100.0
1407,Malawi,lat_deg,-14.062999999999999,,1.0,100.0
1408,Malawi,lat_deg,-15.0533,,1.0,100.0
1409,Malawi,lat_deg,-14.1702,,1.0,100.0
1410,Malawi,lat_deg,-14.1701,,1.0,100.0
1411,Malawi,lat_deg,-14.1683,,1.0,100.0
1412,Malawi,lat_deg,-14.1581,1.0,1.0,50.0
1413,Malawi,lat_deg,-14.1386,,1.0,100.0
1414,Malawi,lat_deg,-14.1286,,1.0,100.0
1415,Malawi,lat_deg,-14.1148,,1.0,100.0
1416,Malawi,lat_deg,-14.1107,,1.0,100.0
1417,Malawi,lat_deg,-14.085,,1.0,100.0
1418,Malawi,lat_deg,-14.0818,,1.0,100.0
1419,Malawi,lat_deg,-14.0682,1.0,1.0,50.0
1420,Malawi,lat_deg,-14.0681,,1.0,100.0
1421,Malawi,lat_deg,-14.068,,1.0,100.0
1422,Malawi,lat_deg,-14.0677,,1.0,100.0
1423,Malawi,lat_deg,-14.067,,1.0,100.0
1424,Malawi,lat_deg,-14.1716,,1.0,100.0
1425,Malawi,lat_deg,-14.1869,,1.0,100.0
1426,Malawi,lat_deg,-14.2011,,1.0,100.0
1427,Malawi,lat_deg,-14.6898,,1.0,100.0
1428,Malawi,lat_deg,-15.0528,,1.0,100.0
1429,Malawi,lat_deg,-15.0522,,1.0,100.0
1430,Malawi,lat_deg,-15.0513,,1.0,100.0
1431,Malawi,lat_deg,-15.0456,,1.0,100.0
1432,Malawi,lat_deg,-14.7808,,1.0,100.0
1433,Malawi,lat_deg,-14.7504,,1.0,100.0
1434,Malawi,lat_deg,-14.4243,,1.0,100.0
1435,Malawi,lat_deg,-14.2924,,1.0,100.0
1436,Malawi,lat_deg,-14.3905,,1.0,100.0
1437,Malawi,lat_deg,-14.3204,,1.0,100.0
1438,Malawi,lat_deg,-14.3177,,1.0,100.0
1439,Malawi,lat_deg,-14.3142,1.0,1.0,50.0
1440,Malawi,lat_deg,-14.3135,,1.0,100.0
1441,Malawi,lat_deg,-14.3064,,1.0,100.0
1442,Malawi,lat_deg,-15.2457,,1.0,100.0
1443,Malawi,lat_deg,-15.2472,2.0,1.0,33.33
1444,Malawi,lat_deg,-15.248,,1.0,100.0
1445,Malawi,lat_deg,-15.2493,,1.0,100.0
1446,Malawi,lat_deg,-15.2989,1.0,1.0,50.0
1447,Malawi,lat_deg,-15.2972,,1.0,100.0
1448,Malawi,lat_deg,-15.2971,,1.0,100.0
1449,Malawi,lat_deg,-15.297,,1.0,100.0
1450,Malawi,lat_deg,-15.2953,,1.0,100.0
1451,Malawi,lat_deg,-15.2952,,1.0,100.0
1452,Malawi,lat_deg,-15.2947,,1.0,100.0
1453,Malawi,lat_deg,-15.292,,1.0,100.0
1454,Malawi,lat_deg,-15.2919,2.0,1.0,33.33
1455,Malawi,lat_deg,-15.2909,3.0,1.0,25.0
1456,Malawi,lat_deg,-15.29,1.0,1.0,50.0
1457,Malawi,lat_deg,-15.2899,2.0,1.0,33.33
1458,Malawi,lat_deg,-15.2884,3.0,1.0,25.0
1459,Malawi,lat_deg,-15.2878,2.0,1.0,33.33
1460,Malawi,lat_deg,-15.2876,,1.0,100.0
1461,Malawi,lat_deg,-15.3002,2.0,1.0,33.33
1462,Malawi,lat_deg,-15.3008,2.0,1.0,33.33
1463,Malawi,lat_deg,-15.3028,1.0,1.0,50.0
1464,Malawi,lat_deg,-15.3116,2.0,1.0,33.33
1465,Malawi,lat_deg,-15.3184,2.0,1.0,33.33
1466,Malawi,lat_deg,-15.3174,,1.0,100.0
1467,Malawi,lat_deg,-15.3172,1.0,1.0,50.0
1468,Malawi,lat_deg,-15.3149,1.0,1.0,50.0
1469,Malawi,lat_deg,-15.3144,1.0,1.0,50.0
1470,Malawi,lat_deg,-15.3117,2.0,1.0,33.33
1471,Malawi,lat_deg,-15.3104,2.0,1.0,33.33
1472,Malawi,lat_deg,-15.3034,3.0,1.0,25.0
1473,Malawi,lat_deg,-15.31,,1.0,100.0
1474,Malawi,lat_deg,-15.3094,,1.0,100.0
1475,Malawi,lat_deg,-15.3087,1.0,1.0,50.0
1476,Malawi,lat_deg,-15.3075,,1.0,100.0
1477,Malawi,lat_deg,-15.3055,1.0,1.0,50.0
1478,Malawi,lat_deg,-15.305,3.0,1.0,25.0
1479,Malawi,lat_deg,-15.2871,,1.0,100.0
1480,Malawi,lat_deg,-15.2866,2.0,1.0,33.33
1481,Malawi,lat_deg,-15.2864,,1.0,100.0
1482,Malawi,lat_deg,-15.264000000000001,1.0,1.0,50.0
1483,Malawi,lat_deg,-15.2694,,1.0,100.0
1484,Malawi,lat_deg,-15.269,1.0,1.0,50.0
1485,Malawi,lat_deg,-15.2689,,1.0,100.0
1486,Malawi,lat_deg,-15.2671,,1.0,100.0
1487,Malawi,lat_deg,-15.2656,,1.0,100.0
1488,Malawi,lat_deg,-15.2648,,1.0,100.0
1489,Malawi,lat_deg,-15.2631,1.0,1.0,50.0
1490,Malawi,lat_deg,-15.2717,2.0,1.0,33.33
1491,Malawi,lat_deg,-15.262,,1.0,100.0
1492,Malawi,lat_deg,-15.2572,,1.0,100.0
1493,Malawi,lat_deg,-15.2566,,1.0,100.0
1494,Malawi,lat_deg,-15.255999999999998,,1.0,100.0
1495,Malawi,lat_deg,-15.2509,1.0,1.0,50.0
1496,Malawi,lat_deg,-15.2495,2.0,1.0,33.33
1497,Malawi,lat_deg,-15.2703,1.0,1.0,50.0
1498,Malawi,lat_deg,-15.2728,,1.0,100.0
1499,Malawi,lat_deg,-15.285,,1.0,100.0
1500,Malawi,lat_deg,-15.2801,,1.0,100.0
1501,Malawi,lat_deg,-15.2849,1.0,1.0,50.0
1502,Malawi,lat_deg,-15.282,,1.0,100.0
1503,Malawi,lat_deg,-15.2816,1.0,1.0,50.0
1504,Malawi,lat_deg,-15.2814,3.0,1.0,25.0
1505,Malawi,lat_deg,-15.2812,1.0,1.0,50.0
1506,Malawi,lat_deg,-15.2807,,1.0,100.0
1507,Malawi,lat_deg,-15.28,,1.0,100.0
1508,Malawi,lat_deg,-15.2754,,1.0,100.0
1509,Malawi,lat_deg,-15.2793,2.0,1.0,33.33
1510,Malawi,lat_deg,-15.2791,1.0,1.0,50.0
1511,Malawi,lat_deg,-15.2785,2.0,1.0,33.33
1512,Malawi,lat_deg,-15.2772,,1.0,100.0
1513,Malawi,lat_deg,-15.2756,2.0,1.0,33.33
1514,Malawi,lat_deg,-15.2755,1.0,1.0,50.0
1515,Malawi,lat_deg,-14.0632,,1.0,100.0
1516,Malawi,lat_deg,-14.0582,,1.0,100.0
1517,Malawi,lat_deg,-15.3202,1.0,1.0,50.0
1518,Malawi,lat_deg,33.8982,1.0,1.0,50.0
1519,Malawi,lat_deg,33.5674,,1.0,100.0
1520,Malawi,lat_deg,33.5683,,1.0,100.0
1521,Malawi,lat_deg,33.5755,,1.0,100.0
1522,Malawi,lat_deg,33.5835,,1.0,100.0
1523,Malawi,lat_deg,33.5995,,1.0,100.0
1524,Malawi,lat_deg,33.5996,,1.0,100.0
1525,Malawi,lat_deg,33.6334,,1.0,100.0
1526,Malawi,lat_deg,33.6335,,1.0,100.0
1527,Malawi,lat_deg,33.6679,2.0,1.0,33.33
1528,Malawi,lat_deg,33.6976,,1.0,100.0
1529,Malawi,lat_deg,33.7097,1.0,1.0,50.0
1530,Malawi,lat_deg,33.7631,,1.0,100.0
1531,Malawi,lat_deg,33.7632,,1.0,100.0
1532,Malawi,lat_deg,33.8708,,1.0,100.0
1533,Malawi,lat_deg,33.8756,,1.0,100.0
1534,Malawi,lat_deg,33.5673,,1.0,100.0
1535,Malawi,lat_deg,33.5586,2.0,1.0,33.33
1536,Malawi,lat_deg,33.5584,1.0,1.0,50.0
1537,Malawi,lat_deg,33.4904,,1.0,100.0
1538,Malawi,lat_deg,-9.99555,,1.0,100.0
1539,Malawi,lat_deg,-9.97754,,1.0,100.0
1540,Malawi,lat_deg,-9.96462,,1.0,100.0
1541,Malawi,lat_deg,-9.955739999999999,1.0,1.0,50.0
1542,Malawi,lat_deg,-9.9046,,1.0,100.0
1543,Malawi,lat_deg,-0.00016999999999999999,,1.0,100.0
1544,Malawi,lat_deg,33.4905,,1.0,100.0
1545,Malawi,lat_deg,33.5581,,1.0,100.0
1546,Malawi,lat_deg,33.5214,,1.0,100.0
1547,Malawi,lat_deg,33.5216,,1.0,100.0
1548,Malawi,lat_deg,33.5258,1.0,1.0,50.0
1549,Malawi,lat_deg,33.5575,,1.0,100.0
1550,Malawi,lat_deg,33.5576,,1.0,100.0
1551,Malawi,lat_deg,33.558,,1.0,100.0
1552,Malawi,lat_deg,33.8757,,1.0,100.0
1553,Malawi,lat_deg,33.9066,1.0,1.0,50.0
1554,Malawi,lat_deg,-14.057,,1.0,100.0
1555,Malawi,lat_deg,33.9075,,1.0,100.0
1556,Malawi,lat_deg,34.2056,,1.0,100.0
1557,Malawi,lat_deg,34.208,1.0,1.0,50.0
1558,Malawi,lat_deg,34.2205,1.0,1.0,50.0
1559,Malawi,lat_deg,34.2214,1.0,1.0,50.0
1560,Malawi,lat_deg,34.228,1.0,1.0,50.0
1561,Malawi,lat_deg,34.229,1.0,1.0,50.0
1562,Malawi,lat_deg,34.2298,2.0,1.0,33.33
1563,Malawi,lat_deg,34.23,1.0,1.0,50.0
1564,Malawi,lat_deg,34.2332,2.0,1.0,33.33
1565,Malawi,lat_deg,34.2473,,1.0,100.0
1566,Malawi,lat_deg,34.2474,,1.0,100.0
1567,Malawi,lat_deg,34.251999999999995,1.0,1.0,50.0
1568,Malawi,lat_deg,34.2549,,1.0,100.0
1569,Malawi,lat_deg,34.255,,1.0,100.0
1570,Malawi,lat_deg,34.2613,,1.0,100.0
1571,Malawi,lat_deg,34.2007,2.0,1.0,33.33
1572,Malawi,lat_deg,34.194,1.0,1.0,50.0
1573,Malawi,lat_deg,34.193000000000005,,1.0,100.0
1574,Malawi,lat_deg,33.9502,,1.0,100.0
1575,Malawi,lat_deg,33.9116,,1.0,100.0
1576,Malawi,lat_deg,33.9149,1.0,1.0,50.0
1577,Malawi,lat_deg,33.9158,,1.0,100.0
1578,Malawi,lat_deg,33.9218,3.0,1.0,25.0
1579,Malawi,lat_deg,33.929,,1.0,100.0
1580,Malawi,lat_deg,33.9501,,1.0,100.0
1581,Malawi,lat_deg,33.9576,1.0,1.0,50.0
1582,Malawi,lat_deg,34.1863,1.0,1.0,50.0
1583,Malawi,lat_deg,34.015,,1.0,100.0
1584,Malawi,lat_deg,34.0336,,1.0,100.0
1585,Malawi,lat_deg,34.1549,,1.0,100.0
1586,Malawi,lat_deg,34.1556,,1.0,100.0
1587,Malawi,lat_deg,34.168,,1.0,100.0
1588,Malawi,lat_deg,34.1738,,1.0,100.0
1589,Malawi,lat_deg,-10.008,,1.0,100.0
1590,Malawi,lat_deg,-10.0843,,1.0,100.0
1591,Malawi,lat_deg,-10.39,,1.0,100.0
1592,Malawi,lat_deg,-10.9579,,1.0,100.0
1593,Malawi,lat_deg,-13.92,,1.0,100.0
1594,Malawi,lat_deg,-13.7997,,1.0,100.0
1595,Malawi,lat_deg,-13.7996,,1.0,100.0
1596,Malawi,lat_deg,-13.7897,,1.0,100.0
1597,Malawi,lat_deg,-13.7891,,1.0,100.0
1598,Malawi,lat_deg,-13.7802,,1.0,100.0
1599,Malawi,lat_deg,-13.7797,,1.0,100.0
1600,Malawi,lat_deg,-13.7763,,1.0,100.0
1601,Malawi,lat_deg,-13.776,,1.0,100.0
1602,Malawi,lat_deg,-13.7759,,1.0,100.0
1603,Malawi,lat_deg,-13.7732,,1.0,100.0
1604,Malawi,lat_deg,-13.7709,,1.0,100.0
1605,Malawi,lat_deg,-13.7681,,1.0,100.0
1606,Malawi,lat_deg,-13.7635,,1.0,100.0
1607,Malawi,lat_deg,-13.7614,,1.0,100.0
1608,Malawi,lat_deg,-13.969000000000001,,1.0,100.0
1609,Malawi,lat_deg,-13.9708,,1.0,100.0
1610,Malawi,lat_deg,-13.9787,,1.0,100.0
1611,Malawi,lat_deg,-14.0178,,1.0,100.0
1612,Malawi,lat_deg,-14.0538,1.0,1.0,50.0
1613,Malawi,lat_deg,-14.0505,,1.0,100.0
1614,Malawi,lat_deg,-14.0248,1.0,1.0,50.0
1615,Malawi,lat_deg,-14.0213,1.0,1.0,50.0
1616,Malawi,lat_deg,-14.0206,,1.0,100.0
1617,Malawi,lat_deg,-14.0205,,1.0,100.0
1618,Malawi,lat_deg,-14.0144,,1.0,100.0
1619,Malawi,lat_deg,-13.9844,,1.0,100.0
1620,Malawi,lat_deg,-14.0117,,1.0,100.0
1621,Malawi,lat_deg,-14.0051,1.0,1.0,50.0
1622,Malawi,lat_deg,-14.0014,,1.0,100.0
1623,Malawi,lat_deg,-13.9977,,1.0,100.0
