,country,most_important_feature,feature_value,# functioning,# not functioning,percentage_broken
98,Sierra Leone,age_well_years,15.1,53.0,27.0,33.75
99,Sierra Leone,age_well_years,36.7,65.0,27.0,29.35
100,Sierra Leone,age_well_years,21.2,73.0,27.0,27.0
101,Sierra Leone,age_well_years,25.6,28.0,26.0,48.15
102,Sierra Leone,age_well_years,32.2,57.0,26.0,31.33
103,Sierra Leone,age_well_years,25.2,51.0,25.0,32.89
104,Sierra Leone,age_well_years,29.7,120.0,25.0,17.24
105,Sierra Leone,age_well_years,13.5,35.0,24.0,40.68
106,Sierra Leone,age_well_years,5.9,87.0,24.0,21.62
107,Sierra Leone,age_well_years,2.8,118.0,24.0,16.9
108,Sierra Leone,age_well_years,10.9,49.0,24.0,32.88
109,Sierra Leone,age_well_years,27.6,87.0,24.0,21.62
110,Sierra Leone,age_well_years,16.8,67.0,24.0,26.37
111,Sierra Leone,age_well_years,32.7,93.0,24.0,20.51
112,Sierra Leone,age_well_years,12.8,75.0,24.0,24.24
113,Sierra Leone,age_well_years,26.1,83.0,23.0,21.7
114,Sierra Leone,age_well_years,26.6,68.0,23.0,25.27
115,Sierra Leone,age_well_years,15.6,101.0,23.0,18.55
116,Sierra Leone,age_well_years,20.1,110.0,23.0,17.29
117,Sierra Leone,age_well_years,28.7,82.0,23.0,21.9
118,Sierra Leone,age_well_years,31.6,58.0,23.0,28.4
119,Sierra Leone,age_well_years,11.1,135.0,22.0,14.01
120,Sierra Leone,age_well_years,24.2,98.0,22.0,18.33
121,Sierra Leone,age_well_years,12.2,92.0,22.0,19.3
122,Sierra Leone,age_well_years,12.1,132.0,22.0,14.29
123,Sierra Leone,age_well_years,29.9,22.0,21.0,48.84
124,Sierra Leone,age_well_years,9.9,34.0,21.0,38.18
125,Sierra Leone,age_well_years,27.1,79.0,21.0,21.0
126,Sierra Leone,age_well_years,20.6,70.0,21.0,23.08
127,Sierra Leone,age_well_years,17.1,41.0,21.0,33.87
128,Sierra Leone,age_well_years,9.8,100.0,20.0,16.67
129,Sierra Leone,age_well_years,5.8,177.0,20.0,10.15
130,Sierra Leone,age_well_years,38.1,16.0,20.0,55.56
131,Sierra Leone,age_well_years,28.1,64.0,20.0,23.81
132,Sierra Leone,age_well_years,14.2,51.0,20.0,28.17
133,Sierra Leone,age_well_years,2.9,108.0,20.0,15.62
134,Sierra Leone,age_well_years,31.8,48.0,20.0,29.41
135,Sierra Leone,age_well_years,28.6,62.0,19.0,23.46
136,Sierra Leone,age_well_years,24.6,70.0,19.0,21.35
137,Sierra Leone,age_well_years,32.6,48.0,19.0,28.36
138,Sierra Leone,age_well_years,32.8,30.0,19.0,38.78
139,Sierra Leone,age_well_years,36.6,57.0,19.0,25.0
140,Sierra Leone,age_well_years,12.9,44.0,18.0,29.03
141,Sierra Leone,age_well_years,26.8,82.0,18.0,18.0
142,Sierra Leone,age_well_years,43.6,14.0,18.0,56.25
143,Sierra Leone,age_well_years,37.2,12.0,18.0,60.0
144,Sierra Leone,age_well_years,7.9,70.0,18.0,20.45
145,Sierra Leone,age_well_years,2.5,60.0,17.0,22.08
146,Sierra Leone,age_well_years,18.7,98.0,17.0,14.78
147,Sierra Leone,age_well_years,30.2,39.0,17.0,30.36
148,Sierra Leone,age_well_years,15.9,54.0,17.0,23.94
149,Sierra Leone,age_well_years,21.1,64.0,17.0,20.99
150,Sierra Leone,age_well_years,18.2,51.0,17.0,25.0
151,Sierra Leone,age_well_years,18.8,33.0,16.0,32.65
152,Sierra Leone,age_well_years,26.2,66.0,16.0,19.51
153,Sierra Leone,age_well_years,33.6,20.0,16.0,44.44
154,Sierra Leone,age_well_years,11.2,91.0,16.0,14.95
155,Sierra Leone,age_well_years,30.1,62.0,15.0,19.48
156,Sierra Leone,age_well_years,20.8,14.0,15.0,51.72
157,Sierra Leone,age_well_years,14.9,74.0,15.0,16.85
158,Sierra Leone,age_well_years,34.7,60.0,15.0,20.0
159,Sierra Leone,age_well_years,19.2,43.0,14.0,24.56
160,Sierra Leone,age_well_years,13.1,93.0,14.0,13.08
161,Sierra Leone,age_well_years,44.1,3.0,14.0,82.35
162,Sierra Leone,age_well_years,34.8,29.0,14.0,32.56
163,Sierra Leone,age_well_years,18.6,71.0,14.0,16.47
164,Sierra Leone,age_well_years,47.2,2.0,14.0,87.5
165,Sierra Leone,age_well_years,1.5,62.0,13.0,17.33
166,Sierra Leone,age_well_years,23.8,21.0,13.0,38.24
167,Sierra Leone,age_well_years,0.9,74.0,13.0,14.94
168,Sierra Leone,age_well_years,23.7,47.0,13.0,21.67
169,Sierra Leone,age_well_years,15.8,45.0,13.0,22.41
170,Sierra Leone,age_well_years,21.8,29.0,13.0,30.95
171,Sierra Leone,age_well_years,29.6,40.0,13.0,24.53
172,Sierra Leone,age_well_years,17.8,18.0,13.0,41.94
173,Sierra Leone,age_well_years,46.6,43.0,13.0,23.21
174,Sierra Leone,age_well_years,13.9,49.0,13.0,20.97
175,Sierra Leone,age_well_years,40.2,20.0,12.0,37.5
176,Sierra Leone,age_well_years,29.8,93.0,12.0,11.43
177,Sierra Leone,age_well_years,5.5,35.0,12.0,25.53
178,Sierra Leone,age_well_years,7.5,21.0,12.0,36.36
179,Sierra Leone,age_well_years,25.8,26.0,11.0,29.73
180,Sierra Leone,age_well_years,4.5,30.0,11.0,26.83
181,Sierra Leone,age_well_years,29.1,60.0,11.0,15.49
182,Sierra Leone,age_well_years,42.1,15.0,11.0,42.31
183,Sierra Leone,age_well_years,50.2,3.0,11.0,78.57
184,Sierra Leone,age_well_years,23.6,18.0,10.0,35.71
185,Sierra Leone,age_well_years,28.2,52.0,10.0,16.13
186,Sierra Leone,age_well_years,30.3,5.0,10.0,66.67
187,Sierra Leone,age_well_years,19.1,57.0,10.0,14.93
188,Sierra Leone,age_well_years,37.1,10.0,10.0,50.0
189,Sierra Leone,age_well_years,40.9,5.0,10.0,66.67
190,Sierra Leone,age_well_years,36.8,18.0,10.0,35.71
191,Sierra Leone,age_well_years,16.9,50.0,10.0,16.67
192,Sierra Leone,age_well_years,6.5,28.0,10.0,26.32
193,Sierra Leone,age_well_years,3.5,45.0,9.0,16.67
194,Sierra Leone,age_well_years,18.9,25.0,9.0,26.47
195,Sierra Leone,age_well_years,20.7,67.0,9.0,11.84
196,Sierra Leone,age_well_years,22.8,17.0,9.0,34.62
197,Sierra Leone,age_well_years,36.9,36.0,9.0,20.0
198,Sierra Leone,age_well_years,19.7,44.0,9.0,16.98
199,Sierra Leone,age_well_years,34.1,11.0,9.0,45.0
200,Sierra Leone,age_well_years,9.5,19.0,9.0,32.14
201,Sierra Leone,age_well_years,19.6,37.0,9.0,19.57
202,Sierra Leone,age_well_years,50.3,,8.0,100.0
203,Sierra Leone,age_well_years,86.9,29.0,8.0,21.62
204,Sierra Leone,age_well_years,15.2,35.0,8.0,18.6
205,Sierra Leone,age_well_years,27.8,19.0,8.0,29.63
206,Sierra Leone,age_well_years,17.6,54.0,8.0,12.9
207,Sierra Leone,age_well_years,26.3,29.0,8.0,21.62
208,Sierra Leone,age_well_years,0.5,44.0,8.0,15.38
209,Sierra Leone,age_well_years,25.7,56.0,8.0,12.5
210,Sierra Leone,age_well_years,22.7,52.0,8.0,13.33
211,Sierra Leone,age_well_years,56.7,18.0,8.0,30.77
212,Sierra Leone,age_well_years,21.7,65.0,7.0,9.72
213,Sierra Leone,age_well_years,5.3,43.0,7.0,14.0
214,Sierra Leone,age_well_years,25.9,42.0,7.0,14.29
215,Sierra Leone,age_well_years,2.0,71.0,7.0,8.97
216,Sierra Leone,age_well_years,35.6,10.0,7.0,41.18
217,Sierra Leone,age_well_years,10.5,20.0,7.0,25.93
218,Sierra Leone,age_well_years,27.9,98.0,7.0,6.67
219,Sierra Leone,age_well_years,22.6,58.0,7.0,10.77
220,Sierra Leone,age_well_years,18.1,71.0,7.0,8.97
221,Sierra Leone,age_well_years,46.7,18.0,7.0,28.0
222,Sierra Leone,age_well_years,21.6,39.0,7.0,15.22
223,Sierra Leone,age_well_years,12.5,16.0,6.0,27.27
224,Sierra Leone,age_well_years,44.8,1.0,6.0,85.71
225,Sierra Leone,age_well_years,3.3,30.0,6.0,16.67
226,Sierra Leone,age_well_years,0.1,167.0,6.0,3.47
227,Sierra Leone,age_well_years,19.8,12.0,6.0,33.33
228,Sierra Leone,age_well_years,24.9,25.0,6.0,19.35
229,Sierra Leone,age_well_years,17.9,25.0,6.0,19.35
230,Sierra Leone,age_well_years,34.2,10.0,6.0,37.5
231,Sierra Leone,age_well_years,26.9,42.0,6.0,12.5
232,Sierra Leone,age_well_years,17.2,49.0,5.0,9.26
233,Sierra Leone,age_well_years,33.7,24.0,5.0,17.24
234,Sierra Leone,age_well_years,46.8,11.0,5.0,31.25
235,Sierra Leone,age_well_years,33.8,13.0,5.0,27.78
236,Sierra Leone,age_well_years,44.6,23.0,5.0,17.86
237,Sierra Leone,age_well_years,9.3,31.0,5.0,13.89
238,Sierra Leone,age_well_years,71.7,16.0,5.0,23.81
239,Sierra Leone,age_well_years,31.1,18.0,5.0,21.74
240,Sierra Leone,age_well_years,3.0,17.0,5.0,22.73
241,Sierra Leone,age_well_years,4.3,51.0,5.0,8.93
242,Sierra Leone,age_well_years,13.2,29.0,5.0,14.71
243,Sierra Leone,age_well_years,21.9,18.0,5.0,21.74
244,Sierra Leone,age_well_years,41.7,21.0,4.0,16.0
245,Sierra Leone,age_well_years,38.6,15.0,4.0,21.05
246,Sierra Leone,age_well_years,41.2,20.0,4.0,16.67
247,Sierra Leone,age_well_years,38.9,7.0,4.0,36.36
248,Sierra Leone,age_well_years,39.2,4.0,4.0,50.0
249,Sierra Leone,age_well_years,36.1,9.0,4.0,30.77
250,Sierra Leone,age_well_years,46.2,14.0,4.0,22.22
251,Sierra Leone,age_well_years,11.5,14.0,4.0,22.22
252,Sierra Leone,age_well_years,8.5,17.0,4.0,19.05
253,Sierra Leone,age_well_years,51.7,8.0,4.0,33.33
254,Sierra Leone,age_well_years,10.0,6.0,4.0,40.0
255,Sierra Leone,age_well_years,36.2,2.0,3.0,60.0
256,Sierra Leone,age_well_years,2.3,48.0,3.0,5.88
257,Sierra Leone,age_well_years,41.1,2.0,3.0,60.0
258,Sierra Leone,age_well_years,22.3,12.0,3.0,20.0
259,Sierra Leone,age_well_years,35.8,5.0,3.0,37.5
260,Sierra Leone,age_well_years,49.6,,3.0,100.0
261,Sierra Leone,age_well_years,23.3,5.0,3.0,37.5
262,Sierra Leone,age_well_years,8.3,20.0,3.0,13.04
263,Sierra Leone,age_well_years,40.1,7.0,3.0,30.0
264,Sierra Leone,age_well_years,61.7,1.0,3.0,75.0
265,Sierra Leone,age_well_years,37.3,1.0,3.0,75.0
266,Sierra Leone,age_well_years,39.1,4.0,3.0,42.86
267,Sierra Leone,age_well_years,38.8,8.0,3.0,27.27
268,Sierra Leone,age_well_years,38.7,7.0,3.0,30.0
269,Sierra Leone,age_well_years,40.3,,3.0,100.0
270,Sierra Leone,age_well_years,37.8,4.0,3.0,42.86
271,Sierra Leone,age_well_years,33.9,2.0,3.0,60.0
272,Sierra Leone,age_well_years,28.9,29.0,3.0,9.38
273,Sierra Leone,age_well_years,1.0,26.0,3.0,10.34
274,Sierra Leone,age_well_years,28.5,9.0,3.0,25.0
275,Sierra Leone,age_well_years,0.2,165.0,3.0,1.79
276,Sierra Leone,age_well_years,42.7,5.0,3.0,37.5
277,Sierra Leone,age_well_years,44.2,2.0,3.0,60.0
278,Sierra Leone,age_well_years,44.7,25.0,3.0,10.71
279,Sierra Leone,age_well_years,45.8,1.0,3.0,75.0
280,Sierra Leone,age_well_years,47.1,3.0,2.0,40.0
281,Sierra Leone,age_well_years,7.3,27.0,2.0,6.9
282,Sierra Leone,age_well_years,15.5,7.0,2.0,22.22
283,Sierra Leone,age_well_years,39.7,2.0,2.0,50.0
284,Sierra Leone,age_well_years,40.7,4.0,2.0,33.33
285,Sierra Leone,age_well_years,40.6,12.0,2.0,14.29
286,Sierra Leone,age_well_years,41.9,7.0,2.0,22.22
287,Sierra Leone,age_well_years,40.8,1.0,2.0,66.67
288,Sierra Leone,age_well_years,6.3,56.0,2.0,3.45
289,Sierra Leone,age_well_years,41.0,,2.0,100.0
