Row ID,country_name,water_source,water_tech,status_id,management,pay,#installer,install_year,#status,#source,#adm1,#adm2,#wpdx_id,#report_date,#country_id,#activity_id,#data_lnk,#orig_lnk,photo_lnk,#converted,#created,#updated,lat_deg,lon_deg,Location,Count,#fecal_coliform_presence,#fecal_coliform_value,#subjective_quality,val1,val2
66189,Sierra Leone,Pump on hand-dug well,India Mark,yes,,No- water is free,United Nations (UN),2011,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066189,03/21/2012 12:00:00 AM +0000,SL,af78m5ar,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16731,-10.946,"(8.16731, -10.946)",1,,,,,
66190,Sierra Leone,Protected Well (no pump),Bucket,yes,,No- water is free,Private Person,1984,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066190,01/30/2012 12:00:00 AM +0000,SL,ag0htyl1,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.18501,-10.9654,"(8.18501, -10.9654)",1,,,,,
66191,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066191,01/30/2012 12:00:00 AM +0000,SL,aexfk3wp,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16138,-10.9898,"(8.16138, -10.9898)",1,,,,,
66192,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066192,01/30/2012 12:00:00 AM +0000,SL,aey3yvpl,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.1618,-10.9898,"(8.1618, -10.9898)",1,,,,,
66193,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066193,01/30/2012 12:00:00 AM +0000,SL,aexij9xq,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16143,-10.9903,"(8.16143, -10.9903)",1,,,,,
66194,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066194,01/30/2012 12:00:00 AM +0000,SL,aexz7evj,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.16171,-10.9903,"(8.16171, -10.9903)",1,,,,,
66195,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- functional.,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066195,01/30/2012 12:00:00 AM +0000,SL,afoqirmc,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.1779,-10.9845,"(8.1779, -10.9845)",1,,,,,
66196,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- but partly damaged. Tap head(s) broken or missing,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066196,01/30/2012 12:00:00 AM +0000,SL,afp6lgyi,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.17816,-10.985,"(8.17816, -10.985)",1,,,,,
66197,Sierra Leone,Standpipe or Tapstand,,yes,,Only if there is a breakdown,GVWC,1992,Yes- but partly damaged. Tap head(s) broken or missing,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066197,01/30/2012 12:00:00 AM +0000,SL,afnntlbc,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.17725,-10.9865,"(8.17725, -10.9865)",1,,,,,
66198,Sierra Leone,Pump on borehole,Kardia,no,,No water,Unknown,2011,No- broken down. Pump damaged,Sierra Leone STATWASH portal,Eastern,Kenema,wpdx-00066198,12/18/2012 12:00:00 AM +0000,SL,afenxs8p,http://www.dropbox.com/s/8sgpa099ebtbg2w/All_Waterpoins__ACF_c_-Raw.xlsx?dl=0,,,"#country_id, #status_id, #status, #management, #source, #data_lnk",10/26/2015 09:25:11 PM +0000,10/26/2015 09:25:11 PM +0000,8.1718,-10.9881,"(8.1718, -10.9881)",1,,,,,
